"","mtry","splitrule","min.node.size","Accuracy","Kappa","AccuracySD","KappaSD"
"51",10,"gini",10,0.821695657195657,0.147863223820672,0.00657884801376847,0.0357547394523239
"52",10,"hellinger",1,0.819795455595456,0.140725636904039,0.00727132039437638,0.0350347623324227
"53",10,"hellinger",5,0.821695757295757,0.146397645233435,0.00743383642680232,0.0378156704635588
"54",10,"hellinger",10,0.821596557496557,0.146564699110184,0.00680275621197032,0.0369748351679852
"55",11,"gini",1,0.819696655796656,0.155754122587601,0.00587080684363027,0.0295658870397001
"56",11,"gini",5,0.819795156095156,0.144927485284561,0.00818585781097303,0.0379018787139443
"57",11,"gini",10,0.819394354894355,0.141818862404069,0.00893842424947552,0.0447936025757488
"58",11,"hellinger",1,0.820296056196056,0.151568116212764,0.00688113599536361,0.0328667647106364
"59",11,"hellinger",5,0.819796356296356,0.140262779099778,0.00716821181797829,0.0345640436949014
"60",11,"hellinger",10,0.819996255996256,0.141662706212931,0.00753902661052641,0.037218037885821
"61",12,"gini",1,0.820195055795056,0.153877845215026,0.00863824620713114,0.0404121076378231
"62",12,"gini",5,0.820396656396656,0.149197359477302,0.00680169771855367,0.0348696565933349
"63",12,"gini",10,0.821696357296357,0.151012107405836,0.00720417108227189,0.0369316058109374
"64",12,"hellinger",1,0.820996157496158,0.152711998938694,0.00750818948116944,0.033425730990434
"65",12,"hellinger",5,0.820595256395256,0.147662062773165,0.00811904699309707,0.0380487669178112
"66",12,"hellinger",10,0.820096256596257,0.140341715435574,0.00632549592517953,0.0316323160827462
"67",13,"gini",1,0.821294756094756,0.159821609750822,0.00995162998556437,0.0459657306328681
"68",13,"gini",5,0.819595555095555,0.1505856750044,0.00756101915709194,0.0356319420195612
"69",13,"gini",10,0.820395555895556,0.151450226589324,0.00801738832660491,0.0337347550397975
"70",13,"hellinger",1,0.820894856394856,0.148769439893132,0.00759624222342175,0.0375669600527894
"71",13,"hellinger",5,0.821295456795457,0.147044209001951,0.00783389139310973,0.0386850389488381
"72",13,"hellinger",10,0.820896056996057,0.145715051995018,0.00720080334965438,0.0349873646778041
"73",14,"gini",1,0.819695355495355,0.157407959213882,0.00717221528233098,0.0299009689847125
"74",14,"gini",5,0.819996955496956,0.149880365973824,0.00734267425909518,0.0360073755086526
"75",14,"gini",10,0.821196357096357,0.153456455102209,0.00765011085540378,0.0381547254249157
"76",14,"hellinger",1,0.820295655795656,0.150016957619172,0.00778545556129203,0.0380273012955443
"77",14,"hellinger",5,0.819797655797656,0.145397696748471,0.00516350261339999,0.0239149009038549
"78",14,"hellinger",10,0.821695157695158,0.147629577677118,0.00834720742192039,0.0378309299893203
"79",15,"gini",1,0.820494756494756,0.162977604806479,0.00793937622255784,0.0373868273877043
"80",15,"gini",5,0.821495556695557,0.160736695346307,0.00812816001033136,0.039237921069085
"81",15,"gini",10,0.820295756095756,0.147709357966238,0.00775725587388803,0.0319842243264204
"82",15,"hellinger",1,0.819596455596456,0.150493803986277,0.00587800458221101,0.0300186968094108
"83",15,"hellinger",5,0.820695556895557,0.14993756480959,0.00731702705388176,0.0347643918051878
"84",15,"hellinger",10,0.820296156496157,0.14182198221697,0.00695849282214072,0.0346577116117125
"85",16,"gini",1,0.819597355097355,0.157899167773978,0.00653206817977959,0.0350100586922395
"86",16,"gini",5,0.820496356496357,0.155025331499025,0.00840589365289613,0.0408573454111479
"87",16,"gini",10,0.820096556096556,0.152011911901041,0.00682599779620325,0.0367532715911939
"88",16,"hellinger",1,0.819995356095356,0.152467606509466,0.00801760385981389,0.0370645422680673
"89",16,"hellinger",5,0.820396956496957,0.148886644447489,0.00672691647017956,0.0280949397169969
"90",16,"hellinger",10,0.820695356295356,0.145807963049235,0.00724683094456812,0.0355029918058244
"91",17,"gini",1,0.819196354696355,0.15528588083942,0.00570256122165818,0.0239978493275567
"92",17,"gini",5,0.820895056795057,0.160871993376965,0.00783603976055371,0.0382950171354389
"93",17,"gini",10,0.821395456995457,0.157042413668346,0.00843801410538709,0.0392905546733549
"94",17,"hellinger",1,0.819596255596256,0.151559686613612,0.00716312378031974,0.0348250763144952
"95",17,"hellinger",5,0.821596257196257,0.153950501078765,0.00745164744872186,0.03513352926682
"96",17,"hellinger",10,0.819694755894756,0.143079092810178,0.00806109688915744,0.0393575735198682
"97",18,"gini",1,0.817894754094754,0.148814593039797,0.008497659604779,0.0419311468794498
