"","mtry","splitrule","min.node.size","Accuracy","Kappa","AccuracySD","KappaSD"
"69",19,"gini",1,0.820999490599491,0.161644361933438,0.00729742447391373,0.0324290513842649
"70",19,"gini",6,0.821997692197692,0.160235342901825,0.00749650647760696,0.0343524623535202
"71",19,"gini",11,0.820898591498591,0.152940611258274,0.00537250124613997,0.0210026093438202
"72",19,"gini",16,0.81919848999849,0.147166957761409,0.00642046674714135,0.0246746226195046
"73",20,"gini",1,0.820399690999691,0.165847402351966,0.00759430462970686,0.0317970891736976
"74",20,"gini",6,0.821398791698792,0.158459120651964,0.00773184882437642,0.0366707174642513
"75",20,"gini",11,0.820999390899391,0.154152226023304,0.00703819093645779,0.0302125461114966
"76",20,"gini",16,0.821299291599292,0.151730983689048,0.00739534888335365,0.0335344467122467
"77",21,"gini",1,0.821798091798092,0.167784931425271,0.00700867240860232,0.0326616355437373
"78",21,"gini",6,0.820097590697591,0.154845428416946,0.00706704114728847,0.0264458924366156
"79",21,"gini",11,0.821799092199092,0.155254368066707,0.00605811066086118,0.0271841029056914
"80",21,"gini",16,0.820499490999491,0.154082673382684,0.00700681878805189,0.0287959275681882
"81",22,"gini",1,0.821600091800092,0.165405736838256,0.00679501155335535,0.0309597520393412
"82",22,"gini",6,0.820698491398491,0.159054531432156,0.00600981263135114,0.0256589062495534
"83",22,"gini",11,0.82089879049879,0.157336803326904,0.00732397767788269,0.0321667427258967
"84",22,"gini",16,0.82059889019889,0.154237445849011,0.00843212074336369,0.0371507406998289
"85",23,"gini",1,0.81919989019989,0.15361101693057,0.00614135631932295,0.0316694523888067
"86",23,"gini",6,0.821698291198291,0.1626176576597,0.00777331107297086,0.0356876971760183
"87",23,"gini",11,0.821000491200491,0.156849776270396,0.00785603437239338,0.0297496613457754
"88",23,"gini",16,0.81969969039969,0.146541214801274,0.00597037942005934,0.0322633329801905
